ppn	spkr	id	var	dur	f	pool	list	def	s	o1	o2	o3	o4	cor	r	rt	i
YRBOF	16	2	3	585	2_16_3.wav	1	3	41	f	41	1	86	122	1	1	1713	71
YRBOF	36	1	3	680	1_36_3.wav	2	1	23	f	23	107	56	161	1	1	861	72
YRBOF	12	12	1	586	12_12_1.wav	3	1	1	m	1	90	86	116	1	1	1522	73
YRBOF	19	5	1	790	5_19_1.wav	2	2	29	f	68	160	84	29	1	4	955	74
YRBOF	19	6	1	693	6_19_1.wav	1	2	29	f	29	24	134	26	1	1	1580	75
YRBOF	17	10	2	693	10_17_2.wav	1	1	39	m	66	32	33	39	0	2	1479	76
YRBOF	25	4	2	910	4_25_2.wav	3	2	35	f	126	35	115	179	1	2	1135	77
YRBOF	11	9	2	622	9_11_2.wav	2	3	41	m	105	41	101	163	1	2	1649	78
YRBOF	36	11	2	511	11_36_2.wav	1	1	23	m	136	165	4	23	1	4	1657	79
YRBOF	8	4	1	1100	4_8_1.wav	3	2	6	f	6	178	106	13	1	1	654	80
YRBOF	57	12	3	554	12_57_3.wav	3	2	10	m	7	171	167	10	1	4	827	81
YRBOF	49	9	4	500	9_49_4.wav	2	3	41	m	93	8	41	48	1	3	2640	82
YRBOF	47	1	3	665	1_47_3.wav	2	2	9	f	89	93	38	9	1	4	854	83
YRBOF	38	7	1	622	7_38_1.wav	3	3	41	m	41	91	44	47	1	1	2108	84
YRBOF	40	9	2	500	9_40_2.wav	2	1	34	m	63	74	130	34	0	4	949	85
YRBOF	54	1	4	700	1_54_4.wav	2	2	19	f	99	69	115	19	1	4	1472	86
YRBOF	60	6	1	433	6_60_1.wav	1	2	28	f	28	175	60	105	1	1	843	87
